"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1","20/08/94","F Koln","Chemnitz",3,0,"H"
"2","20/08/94","Hannover","Meppen",1,0,"H"
"3","20/08/94","Hertha","Hansa Rostock",0,1,"A"
"4","20/08/94","Mainz","Homburg",4,1,"H"
"5","20/08/94","Saarbrucken","Dusseldorf",1,2,"A"
"6","20/08/94","St Pauli","Wolfsburg",0,0,"D"
"7","20/08/94","Wattenscheid","Leipzig",4,2,"H"
"8","20/08/94","Zwickau","FSV Frankfurt",2,2,"D"
"9","21/08/94","Nurnberg","Mannheim",0,0,"D"
"10","24/08/94","Chemnitz","Saarbrucken",1,1,"D"
"11","24/08/94","Dusseldorf","Wattenscheid",1,1,"D"
"12","24/08/94","FSV Frankfurt","F Koln",0,5,"A"
"13","24/08/94","Hansa Rostock","St Pauli",3,0,"H"
"14","24/08/94","Homburg","Zwickau",3,1,"H"
"15","24/08/94","Leipzig","Hannover",3,1,"H"
"16","24/08/94","Mannheim","Hertha",3,0,"H"
"17","24/08/94","Meppen","Nurnberg",1,2,"A"
"18","24/08/94","Wolfsburg","Mainz",2,0,"H"
"19","27/08/94","FSV Frankfurt","Homburg",1,2,"A"
"20","27/08/94","Hannover","Dusseldorf",0,3,"A"
"21","27/08/94","Hertha","Meppen",5,1,"H"
"22","27/08/94","Mainz","Hansa Rostock",2,2,"D"
"23","27/08/94","Nurnberg","Leipzig",3,1,"H"
"24","27/08/94","Wattenscheid","Chemnitz",2,2,"D"
"25","27/08/94","Zwickau","Wolfsburg",1,3,"A"
"26","29/08/94","St Pauli","Mannheim",1,1,"D"
"27","31/08/94","F Koln","Saarbrucken",4,0,"H"
"28","03/09/94","Chemnitz","Hannover",1,1,"D"
"29","03/09/94","Dusseldorf","Nurnberg",1,1,"D"
"30","03/09/94","Hansa Rostock","Zwickau",2,0,"H"
"31","03/09/94","Homburg","F Koln",0,0,"D"
"32","03/09/94","Leipzig","Hertha",0,1,"A"
"33","03/09/94","Mannheim","Mainz",4,0,"H"
"34","03/09/94","Meppen","St Pauli",3,2,"H"
"35","03/09/94","Wolfsburg","FSV Frankfurt",4,1,"H"
"36","04/09/94","Saarbrucken","Wattenscheid",2,0,"H"
"37","17/09/94","FSV Frankfurt","Hansa Rostock",1,1,"D"
"38","17/09/94","Hannover","Saarbrucken",0,0,"D"
"39","17/09/94","Homburg","Wolfsburg",1,1,"D"
"40","17/09/94","Mainz","Meppen",1,1,"D"
"41","17/09/94","Nurnberg","Chemnitz",2,1,"H"
"42","17/09/94","St Pauli","Leipzig",2,2,"D"
"43","17/09/94","Zwickau","Mannheim",1,1,"D"
"44","18/09/94","F Koln","Wattenscheid",0,0,"D"
"45","24/09/94","Chemnitz","Hertha",2,0,"H"
"46","24/09/94","Dusseldorf","St Pauli",0,1,"A"
"47","24/09/94","Hansa Rostock","Homburg",2,3,"A"
"48","24/09/94","Leipzig","Mainz",0,2,"A"
"49","24/09/94","Mannheim","FSV Frankfurt",3,2,"H"
"50","24/09/94","Meppen","Zwickau",2,2,"D"
"51","24/09/94","Saarbrucken","Nurnberg",2,1,"H"
"52","24/09/94","Wattenscheid","Hannover",2,1,"H"
"53","24/09/94","Wolfsburg","F Koln",3,0,"H"
"54","01/10/94","F Koln","Hannover",1,3,"A"
"55","01/10/94","FSV Frankfurt","Meppen",1,3,"A"
"56","01/10/94","Hertha","Saarbrucken",2,1,"H"
"57","01/10/94","Homburg","Mannheim",1,1,"D"
"58","01/10/94","Mainz","Dusseldorf",0,2,"A"
"59","01/10/94","Nurnberg","Wattenscheid",1,1,"D"
"60","01/10/94","St Pauli","Chemnitz",0,0,"D"
"61","01/10/94","Wolfsburg","Hansa Rostock",0,1,"A"
"62","01/10/94","Zwickau","Leipzig",3,0,"H"
"63","04/10/94","Hertha","Dusseldorf",0,0,"D"
"64","09/10/94","Chemnitz","Mainz",1,1,"D"
"65","09/10/94","Dusseldorf","Zwickau",1,1,"D"
"66","09/10/94","Hannover","Nurnberg",6,3,"H"
"67","09/10/94","Leipzig","FSV Frankfurt",3,0,"H"
"68","09/10/94","Mannheim","Wolfsburg",2,2,"D"
"69","09/10/94","Meppen","Homburg",1,0,"H"
"70","09/10/94","Saarbrucken","St Pauli",1,2,"A"
"71","09/10/94","Wattenscheid","Hertha",0,1,"A"
"72","10/10/94","Hansa Rostock","F Koln",2,0,"H"
"73","15/10/94","F Koln","Nurnberg",1,1,"D"
"74","15/10/94","Hansa Rostock","Mannheim",0,1,"A"
"75","15/10/94","Mainz","Saarbrucken",1,1,"D"
"76","15/10/94","St Pauli","Wattenscheid",4,1,"H"
"77","15/10/94","Zwickau","Chemnitz",0,0,"D"
"78","16/10/94","FSV Frankfurt","Dusseldorf",1,2,"A"
"79","16/10/94","Hertha","Hannover",2,0,"H"
"80","16/10/94","Homburg","Leipzig",2,1,"H"
"81","16/10/94","Wolfsburg","Meppen",0,0,"D"
"82","22/10/94","Chemnitz","FSV Frankfurt",4,2,"H"
"83","22/10/94","Dusseldorf","Homburg",2,0,"H"
"84","22/10/94","Hannover","St Pauli",0,1,"A"
"85","22/10/94","Leipzig","Wolfsburg",2,3,"A"
"86","22/10/94","Saarbrucken","Zwickau",1,1,"D"
"87","22/10/94","Wattenscheid","Mainz",3,2,"H"
"88","23/10/94","Meppen","Hansa Rostock",2,1,"H"
"89","23/10/94","Nurnberg","Hertha",1,1,"D"
"90","24/10/94","Mannheim","F Koln",0,3,"A"
"91","29/10/94","F Koln","Hertha",0,0,"D"
"92","29/10/94","Mainz","Hannover",3,2,"H"
"93","29/10/94","Mannheim","Meppen",0,0,"D"
"94","29/10/94","St Pauli","Nurnberg",3,2,"H"
"95","29/10/94","Wolfsburg","Dusseldorf",3,1,"H"
"96","29/10/94","Zwickau","Wattenscheid",2,1,"H"
"97","30/10/94","FSV Frankfurt","Saarbrucken",0,3,"A"
"98","30/10/94","Hansa Rostock","Leipzig",1,0,"H"
"99","30/10/94","Homburg","Chemnitz",5,1,"H"
"100","05/11/94","Dusseldorf","Hansa Rostock",2,0,"H"
"101","05/11/94","Hannover","Zwickau",1,1,"D"
"102","05/11/94","Leipzig","Mannheim",1,0,"H"
"103","05/11/94","Meppen","F Koln",3,1,"H"
"104","05/11/94","Wattenscheid","FSV Frankfurt",6,2,"H"
"105","06/11/94","Chemnitz","Wolfsburg",1,1,"D"
"106","06/11/94","Hertha","St Pauli",1,1,"D"
"107","06/11/94","Nurnberg","Mainz",1,1,"D"
"108","06/11/94","Saarbrucken","Homburg",1,1,"D"
"109","13/11/94","F Koln","St Pauli",2,2,"D"
"110","13/11/94","FSV Frankfurt","Hannover",1,1,"D"
"111","13/11/94","Homburg","Wattenscheid",0,1,"A"
"112","13/11/94","Mainz","Hertha",1,1,"D"
"113","13/11/94","Mannheim","Dusseldorf",1,0,"H"
"114","13/11/94","Meppen","Leipzig",1,0,"H"
"115","13/11/94","Wolfsburg","Saarbrucken",2,1,"H"
"116","13/11/94","Zwickau","Nurnberg",2,0,"H"
"117","14/11/94","Hansa Rostock","Chemnitz",5,0,"H"
"118","20/11/94","Chemnitz","Mannheim",1,1,"D"
"119","20/11/94","Dusseldorf","Meppen",2,1,"H"
"120","20/11/94","Hannover","Homburg",4,3,"H"
"121","20/11/94","Hertha","Zwickau",2,1,"H"
"122","20/11/94","Leipzig","F Koln",2,0,"H"
"123","20/11/94","Nurnberg","FSV Frankfurt",3,1,"H"
"124","20/11/94","Saarbrucken","Hansa Rostock",2,2,"D"
"125","20/11/94","St Pauli","Mainz",3,1,"H"
"126","20/11/94","Wattenscheid","Wolfsburg",2,2,"D"
"127","25/11/94","Mannheim","Saarbrucken",2,2,"D"
"128","27/11/94","FSV Frankfurt","Hertha",1,3,"A"
"129","27/11/94","Hansa Rostock","Wattenscheid",3,0,"H"
