"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1","26/07/2019","Stuttgart","Hannover",2,1,"H"
"2","27/07/2019","Dresden","Nurnberg",0,1,"A"
"3","27/07/2019","Holstein Kiel","Sandhausen",1,1,"D"
"4","27/07/2019","Osnabruck","Heidenheim",1,3,"A"
"5","28/07/2019","Hamburg","Darmstadt",1,1,"D"
"6","28/07/2019","Greuther Furth","Erzgebirge Aue",0,2,"A"
"7","28/07/2019","Regensburg","Bochum",3,1,"H"
"8","28/07/2019","Wehen","Karlsruhe",1,2,"A"
"9","29/07/2019","Bielefeld","St Pauli",1,1,"D"
"10","02/08/2019","Bochum","Bielefeld",3,3,"D"
"11","02/08/2019","Sandhausen","Osnabruck",0,1,"A"
"12","02/08/2019","St Pauli","Greuther Furth",1,3,"A"
"13","03/08/2019","Karlsruhe","Dresden",4,2,"H"
"14","03/08/2019","Hannover","Regensburg",1,1,"D"
"15","04/08/2019","Heidenheim","Stuttgart",2,2,"D"
"16","04/08/2019","Darmstadt","Holstein Kiel",2,0,"H"
"17","04/08/2019","Erzgebirge Aue","Wehen",3,2,"H"
"18","05/08/2019","Nurnberg","Hamburg",0,4,"A"
"19","16/08/2019","Hamburg","Bochum",1,0,"H"
"20","16/08/2019","Sandhausen","Nurnberg",3,2,"H"
"21","17/08/2019","Bielefeld","Erzgebirge Aue",3,1,"H"
"22","17/08/2019","Stuttgart","St Pauli",2,1,"H"
"23","17/08/2019","Wehen","Hannover",0,3,"A"
"24","18/08/2019","Dresden","Heidenheim",2,1,"H"
"25","18/08/2019","Greuther Furth","Regensburg",1,0,"H"
"26","18/08/2019","Holstein Kiel","Karlsruhe",2,1,"H"
"27","19/08/2019","Osnabruck","Darmstadt",4,0,"H"
"28","23/08/2019","Darmstadt","Dresden",0,0,"D"
"29","23/08/2019","Erzgebirge Aue","Stuttgart",0,0,"D"
"30","24/08/2019","Bochum","Wehen",3,3,"D"
"31","24/08/2019","Hannover","Greuther Furth",1,1,"D"
"32","24/08/2019","Regensburg","Bielefeld",1,3,"A"
"33","25/08/2019","Heidenheim","Sandhausen",0,2,"A"
"34","25/08/2019","Karlsruhe","Hamburg",2,4,"A"
"35","25/08/2019","Nurnberg","Osnabruck",1,0,"H"
"36","26/08/2019","St Pauli","Holstein Kiel",2,1,"H"
"37","30/08/2019","Nurnberg","Heidenheim",2,2,"D"
"38","30/08/2019","Sandhausen","Darmstadt",1,0,"H"
"39","31/08/2019","Bielefeld","Greuther Furth",2,2,"D"
"40","31/08/2019","Dresden","St Pauli",3,3,"D"
"41","31/08/2019","Wehen","Regensburg",0,5,"A"
"42","01/09/2019","Hamburg","Hannover",3,0,"H"
"43","01/09/2019","Holstein Kiel","Erzgebirge Aue",1,1,"D"
"44","01/09/2019","Osnabruck","Karlsruhe",3,0,"H"
"45","02/09/2019","Stuttgart","Bochum",2,1,"H"
"46","13/09/2019","Greuther Furth","Wehen",2,1,"H"
"47","13/09/2019","Karlsruhe","Sandhausen",1,0,"H"
"48","14/09/2019","Hannover","Bielefeld",0,2,"A"
"49","14/09/2019","Heidenheim","Holstein Kiel",3,0,"H"
"50","14/09/2019","Regensburg","Stuttgart",2,3,"A"
"51","15/09/2019","Bochum","Dresden",2,2,"D"
"52","15/09/2019","Darmstadt","Nurnberg",3,3,"D"
"53","15/09/2019","Erzgebirge Aue","Osnabruck",1,0,"H"
"54","16/09/2019","St Pauli","Hamburg",2,0,"H"
"55","20/09/2019","Heidenheim","Darmstadt",1,0,"H"
"56","20/09/2019","Holstein Kiel","Hannover",1,2,"A"
"57","21/09/2019","Nurnberg","Karlsruhe",1,1,"D"
"58","21/09/2019","Sandhausen","Bochum",1,1,"D"
"59","21/09/2019","Stuttgart","Greuther Furth",2,0,"H"
"60","21/09/2019","Wehen","Bielefeld",2,5,"A"
"61","22/09/2019","Dresden","Regensburg",2,1,"H"
"62","22/09/2019","Hamburg","Erzgebirge Aue",4,0,"H"
"63","22/09/2019","Osnabruck","St Pauli",1,1,"D"
"64","27/09/2019","Bielefeld","Stuttgart",0,1,"A"
"65","27/09/2019","Wehen","Osnabruck",2,0,"H"
"66","28/09/2019","Bochum","Darmstadt",2,2,"D"
"67","28/09/2019","Karlsruhe","Heidenheim",1,1,"D"
"68","28/09/2019","Regensburg","Hamburg",2,2,"D"
"69","29/09/2019","Erzgebirge Aue","Dresden",4,1,"H"
"70","29/09/2019","Greuther Furth","Holstein Kiel",0,3,"A"
"71","29/09/2019","St Pauli","Sandhausen",2,0,"H"
"72","30/09/2019","Hannover","Nurnberg",0,4,"A"
"73","04/10/2019","Darmstadt","Karlsruhe",1,1,"D"
"74","04/10/2019","Stuttgart","Wehen",1,2,"A"
"75","05/10/2019","Dresden","Hannover",0,2,"A"
"76","05/10/2019","Hamburg","Greuther Furth",2,0,"H"
