,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,AGHSF,AGASF,AGHSC,AGASC,AGHSTF,AGASTF,AGHSTC,AGASTC,AGHF,AGAF,AGHCF,AGACF,AGHCC,AGACC,AGHY,AGAY,AGHR,AGAR,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HTSD,ATSD,HTSTD,ATSTD,HTCD,ATCD
0,2005-08-27,Alaves,Barcelona,0,0,D,5,17,0,10,3,7,17,19,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2005-08-27,Ath Bilbao,Sociedad,3,0,H,10,9,6,2,3,4,13,19,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2005-08-27,Valencia,Betis,1,0,H,9,14,2,3,8,5,18,14,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2005-08-28,Ath Madrid,Zaragoza,0,0,D,16,9,5,2,8,4,16,22,2,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2005-08-28,Cadiz,Real Madrid,1,2,A,15,17,5,6,8,8,19,25,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2005-08-28,Celta,Malaga,2,0,H,9,10,5,4,4,11,19,25,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2005-08-28,Espanol,Getafe,0,2,A,8,16,3,9,4,2,23,25,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2005-08-28,Mallorca,La Coruna,0,1,A,10,12,3,3,8,4,19,19,2,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2005-08-28,Osasuna,Villarreal,2,1,H,8,10,4,3,2,4,20,9,5,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2005-08-28,Sevilla,Santander,1,0,H,18,5,5,3,9,3,22,27,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2005-09-10,Betis,Osasuna,1,0,H,15,12,4,3,4,1,21,29,2,6,0,0,0,2,1,1,7.0,4.0,4.5,5.0,1.5,2.0,1.0,1.5,7.0,10.0,2.5,1.0,4.0,2.0,1.5,2.5,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,2.5,-1.0,0.5,0.5,-1.5,-1.0
11,2005-09-10,La Coruna,Ath Madrid,1,0,H,11,13,5,7,4,5,16,22,2,2,0,0,1,0,0,0,6.0,8.0,5.0,4.5,1.5,2.5,1.5,1.0,9.5,8.0,2.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.5,0.5,W,D,M,M,M,M,M,M,M,M,2.0,WMMMM,DMMMM,3,1,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0,1.0,3.5,0.0,1.5,-2.0,2.0
12,2005-09-10,Real Madrid,Celta,2,3,A,26,14,5,5,6,4,20,18,3,1,0,0,2,2,1,0,8.5,4.5,7.5,5.0,3.0,2.5,2.5,2.0,12.5,9.5,4.0,2.0,4.0,5.5,1.0,0.5,0.0,0.0,1.5,1.5,W,W,M,M,M,M,M,M,M,M,2.0,WMMMM,WMMMM,3,3,0,0,0,0,0,0,0,0,0.5,1.0,0.0,0.0,1.0,-0.5,0.5,0.5,0.0,-3.5
13,2005-09-11,Barcelona,Mallorca,2,0,H,23,6,7,0,7,3,13,20,2,2,0,2,0,0,0,1,8.5,5.0,2.5,6.0,5.0,1.5,0.0,1.5,9.5,9.5,3.5,4.0,1.5,2.0,0.5,1.0,0.0,0.0,0.5,0.0,D,L,M,M,M,M,M,M,M,M,2.0,DMMMM,LMMMM,1,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.5,6.0,-1.0,5.0,0.0,2.0,2.0
14,2005-09-11,Getafe,Ath Bilbao,1,1,D,11,6,4,2,6,3,14,19,2,1,1,0,2,3,0,0,8.0,5.0,4.0,4.5,4.5,3.0,1.5,1.0,12.5,6.5,1.0,1.5,2.0,2.0,1.5,0.0,0.0,0.0,1.5,1.5,W,W,M,M,M,M,M,M,M,M,2.0,WMMMM,WMMMM,3,3,0,0,0,0,0,0,0,0,1.0,1.5,0.0,0.0,4.0,0.5,3.0,2.0,-1.0,-0.5
15,2005-09-11,Malaga,Espanol,1,2,A,16,6,6,5,4,4,16,18,2,4,0,0,0,0,2,2,5.0,4.0,4.5,8.0,2.0,1.5,2.5,4.5,12.5,11.5,5.5,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,L,L,M,M,M,M,M,M,M,M,2.0,LMMMM,LMMMM,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,0.5,-4.0,-0.5,-3.0,3.5,1.0
16,2005-09-11,Santander,Cadiz,0,1,A,8,8,2,5,4,9,17,12,1,1,0,0,0,1,1,2,2.5,7.5,9.0,8.5,1.5,2.5,2.5,3.0,13.5,9.5,1.5,4.0,4.5,4.0,1.5,1.0,0.0,0.0,0.0,0.0,L,L,M,M,M,M,M,M,M,M,2.0,LMMMM,LMMMM,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,-6.5,-1.0,-1.0,-0.5,-3.0,0.0
17,2005-09-11,Sociedad,Alaves,2,1,H,10,8,5,3,4,8,27,14,0,0,0,0,0,0,3,0,4.5,2.5,5.0,8.5,1.0,0.0,3.0,5.0,9.5,8.5,2.0,1.5,1.5,3.5,0.5,0.0,0.0,0.0,0.0,0.5,L,D,M,M,M,M,M,M,M,M,2.0,LMMMM,DMMMM,0,1,0,0,0,0,0,0,0,0,-1.5,0.0,-0.5,-0.5,-0.5,-6.0,-2.0,-5.0,0.5,-2.0
18,2005-09-11,Villarreal,Sevilla,1,1,D,12,22,3,9,7,6,11,15,3,1,1,0,1,1,2,0,5.0,9.0,4.0,2.5,1.5,2.5,2.0,1.5,4.5,11.0,2.0,4.5,1.0,1.5,1.0,1.0,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,1.0,6.5,-0.5,1.0,1.0,3.0
19,2005-09-11,Zaragoza,Valencia,2,2,D,14,6,7,2,2,2,25,20,1,3,0,0,0,1,0,0,4.5,4.5,8.0,7.0,1.0,1.0,2.5,1.5,11.0,9.0,2.0,4.0,4.0,2.5,3.5,1.0,0.0,0.0,0.5,1.5,D,W,M,M,M,M,M,M,M,M,2.0,DMMMM,WMMMM,1,3,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,-3.5,-2.5,-1.5,-0.5,-2.0,1.5
