,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,AGHSF,AGASF,AGHSC,AGASC,AGHSTF,AGASTF,AGHSTC,AGASTC,AGHF,AGAF,AGHCF,AGACF,AGHCC,AGACC,AGHY,AGAY,AGHR,AGAR,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HTSD,ATSD,HTSTD,ATSTD,HTCD,ATCD
0,2017-08-06,Aves,Sp Lisbon,0,2,A,12,12,2,9,6,3,15,16,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-08-06,Setubal,Moreirense,1,1,D,6,12,2,4,4,8,18,22,1,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-08-07,Feirense,Tondela,1,1,D,12,13,5,6,5,3,19,25,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-08-07,Portimonense,Boavista,2,1,H,12,5,4,2,9,4,14,10,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-08-07,Rio Ave,Belenenses,1,0,H,11,10,5,3,4,8,17,23,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-08-08,Maritimo,Pacos Ferreira,1,0,H,7,4,3,1,0,7,13,14,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-08-09,Benfica,Sp Braga,3,1,H,15,6,9,1,6,2,13,18,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-08-09,Porto,Estoril,4,0,H,17,10,8,4,10,5,18,12,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-08-10,Guimaraes,Chaves,3,2,H,16,15,8,3,9,7,21,13,1,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017-08-11,Sp Lisbon,Setubal,1,0,H,12,3,5,1,7,1,16,24,1,2,0,0,2,1,0,1,6.0,3.0,6.0,6.0,4.5,1.0,1.0,2.0,8.0,9.0,1.5,2.0,3.0,4.0,0.0,0.5,0.0,0.5,1.5,0.5,W,D,M,M,M,M,M,M,M,M,2.0,WMMMM,DMMMM,3,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,-3.0,3.5,-1.0,-1.5,-2.0
10,2017-08-12,Belenenses,Maritimo,1,0,H,10,7,4,5,9,4,20,18,3,1,0,0,0,1,1,0,5.0,3.5,5.5,2.0,1.5,1.5,2.5,0.5,11.5,6.5,4.0,0.0,2.0,3.5,1.0,1.0,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,-0.5,1.5,-1.0,1.0,2.0,-3.5
11,2017-08-12,Boavista,Rio Ave,1,2,A,5,7,2,2,2,3,17,17,3,3,0,0,1,1,2,0,2.5,5.5,6.0,5.0,1.0,2.5,2.0,1.5,5.0,8.5,2.0,2.0,4.5,4.0,0.5,1.0,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,-3.5,0.5,-1.0,1.0,-2.5,-2.0
12,2017-08-12,Moreirense,Feirense,0,0,D,11,6,0,4,8,4,18,23,1,2,0,0,1,1,1,1,6.0,6.0,3.0,6.5,2.0,2.5,1.0,3.0,11.0,9.5,4.0,2.5,2.0,1.5,1.5,2.0,0.0,0.0,0.5,0.5,D,D,M,M,M,M,M,M,M,M,2.0,DMMMM,DMMMM,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,-0.5,1.0,-0.5,2.0,1.0
13,2017-08-13,Pacos Ferreira,Aves,2,2,D,16,7,5,3,2,3,17,20,1,3,0,0,0,0,1,2,2.0,6.0,3.5,6.0,0.5,1.0,1.5,4.5,7.0,7.5,3.5,3.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,L,L,M,M,M,M,M,M,M,M,2.0,LMMMM,LMMMM,0,0,0,0,0,0,0,0,0,0,-0.5,-1.0,0.0,0.0,-1.5,0.0,-1.0,-3.5,3.5,1.5
14,2017-08-13,Sp Braga,Portimonense,2,1,H,8,8,4,1,5,7,14,21,3,3,0,0,1,2,3,1,3.0,6.0,7.5,2.5,0.5,2.0,4.5,1.0,9.0,7.0,1.0,4.5,3.0,2.0,1.5,0.5,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-1.0,0.5,-1.5,-1.5,-4.5,3.5,-4.0,1.0,-2.0,2.5
15,2017-08-13,Tondela,Porto,0,1,A,5,15,2,6,2,6,22,10,3,2,0,0,1,4,1,0,6.5,8.5,6.0,5.0,3.0,4.0,2.5,2.0,12.5,9.0,1.5,5.0,2.5,2.5,0.5,0.5,0.0,0.0,0.5,1.5,D,W,M,M,M,M,M,M,M,M,2.0,DMMMM,WMMMM,1,3,0,0,0,0,0,0,0,0,0.0,2.0,-1.0,-1.0,0.5,3.5,0.5,2.0,-1.0,2.5
16,2017-08-14,Chaves,Benfica,0,1,A,9,21,4,9,5,13,12,15,1,2,0,0,2,3,3,1,7.5,7.5,8.0,3.0,1.5,4.5,4.0,0.5,6.5,6.5,3.5,3.0,4.5,1.0,2.0,1.0,0.0,0.0,0.0,1.5,L,W,M,M,M,M,M,M,M,M,2.0,LMMMM,WMMMM,0,3,0,0,0,0,0,0,0,0,-0.5,1.0,-1.5,-1.5,-0.5,4.5,-2.5,4.0,-1.0,2.0
