,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,AGHSF,AGASF,AGHSC,AGASC,AGHSTF,AGASTF,AGHSTC,AGASTC,AGHF,AGAF,AGHCF,AGACF,AGHCC,AGACC,AGHY,AGAY,AGHR,AGAR,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,HTSD,ATSD,HTSTD,ATSTD,HTCD,ATCD
0,2000-07-29,Dunfermline,Aberdeen,0,0,D,23.0,10.0,8.0,0.0,6.0,6.0,9.0,10.0,1,3,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2000-07-29,Motherwell,Dundee,0,2,A,8.0,7.0,5.0,4.0,5.0,4.0,14.0,13.0,2,2,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2000-07-29,Rangers,St Johnstone,2,1,H,12.0,5.0,8.0,2.0,4.0,2.0,8.0,11.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2000-07-29,St Mirren,Kilmarnock,0,1,A,9.0,5.0,4.0,3.0,6.0,6.0,16.0,16.0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2000-07-30,Dundee United,Celtic,1,2,A,8.0,15.0,4.0,9.0,6.0,11.0,17.0,13.0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2000-07-30,Hearts,Hibernian,0,0,D,10.0,14.0,5.0,8.0,6.0,9.0,18.0,16.0,1,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,1.0,MMMMM,MMMMM,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000-08-05,Aberdeen,St Mirren,2,1,H,17.0,10.0,5.0,5.0,5.0,4.0,19.0,11.0,1,1,0,0,0,0,0,1,5.0,4.5,11.5,2.5,0.0,2.0,4.0,1.5,5.0,8.0,3.0,3.0,3.0,3.0,1.5,0.5,0.5,0.0,0.5,0.0,D,L,M,M,M,M,M,M,M,M,2.0,DMMMM,LMMMM,1,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.5,-6.5,2.0,-4.0,0.5,0.0,0.0
7,2000-08-05,Celtic,Motherwell,1,0,H,14.0,5.0,5.0,3.0,5.0,1.0,12.0,18.0,2,3,2,1,2,0,1,2,7.5,4.0,4.0,3.5,4.5,2.5,2.0,2.0,6.5,7.0,5.5,2.5,3.0,2.0,0.5,1.0,0.0,0.0,1.5,0.0,W,L,M,M,M,M,M,M,M,M,2.0,WMMMM,LMMMM,3,0,0,0,0,0,0,0,0,0,0.5,-1.0,1.5,1.5,3.5,0.5,2.5,0.5,2.5,0.5
8,2000-08-05,Dundee,Dunfermline,3,0,H,11.0,6.0,9.0,2.0,3.0,5.0,7.0,8.0,0,2,0,0,2,0,0,0,3.5,11.5,4.0,5.0,2.0,4.0,2.5,0.0,6.5,4.5,2.0,3.0,2.5,3.0,1.0,0.5,0.5,0.0,1.5,0.5,W,D,M,M,M,M,M,M,M,M,2.0,WMMMM,DMMMM,3,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,-0.5,6.5,-0.5,4.0,-0.5,0.0
9,2000-08-05,Hibernian,Dundee United,3,0,H,17.0,7.0,9.0,3.0,7.0,1.0,13.0,10.0,0,4,0,0,0,1,0,2,7.0,4.0,5.0,7.5,4.0,2.0,2.5,4.5,8.0,8.5,4.5,3.0,3.0,5.5,2.0,2.0,0.0,0.0,0.5,0.0,D,L,M,M,M,M,M,M,M,M,2.0,DMMMM,LMMMM,1,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.5,2.0,-3.5,1.5,-2.5,1.5,-2.5
